ORIG_DT,WKD_TYP_CD
2021/10/28,WN
2021/10/29,WN
2021/10/30,SN
2021/10/31,SN
2021/11/1,WN
2021/11/2,WN
2021/11/3,WN
2021/11/4,WN
2021/11/5,WN
2021/11/6,SN
2021/11/7,SN
2021/11/8,WN
2021/11/9,WN
2021/11/10,WN
2021/11/11,WN
2021/11/12,WN
2021/11/13,SN
2021/11/14,SN
2021/11/15,WN
2021/11/16,WN
2021/11/17,WN
2021/11/18,WN
2021/11/19,WN
2021/11/20,SN
2021/11/21,SN
2021/11/22,WN
2021/11/23,WN
2021/11/24,WN
2021/11/25,WN
2021/11/26,WN
2021/11/27,SN
2021/11/28,SN
2021/11/29,WN
2021/11/30,WN
2021/12/1,WN
2021/12/2,WN
2021/12/3,WN
2021/12/4,SN
2021/12/5,SN
2021/12/6,WN
2021/12/7,WN
2021/12/8,WN
2021/12/9,WN
2021/12/10,WN
2021/12/11,SN
2021/12/12,SN
2021/12/13,WN
2021/12/14,WN
2021/12/15,WN
2021/12/16,WN
2021/12/17,WN
2021/12/18,SN
2021/12/19,SN
2021/12/20,WN
2021/12/21,WN
2021/12/22,WN
2021/12/23,WN
2021/12/24,WN
2021/12/25,SN
2021/12/26,SN
2021/12/27,WN
2021/12/28,WN
2021/12/29,WN
2021/12/30,WN
2021/12/31,WN
